Comment,Llama 70B 1,Mixtral 1,Deepseek 1,Llama 70B 2,Mixtral 2,Deepseek 2,Llama 70B 3,Mixtral 3,Deepseek 3,Llama 70B 4,Mixtral 4,Deepseek 4,Llama 70B 5,Mixtral 5,Deepseek 5
"Bravo ! Excellent assessment of the situation .  The only thing missing is showing how Walker is so obsessed with the gas line , and has been for many years , his judgement is clouded.  If he is going to make all these cuts , why on earth isn't the biggest current drain on the state budget stopped or frozen as well  ?  Walker claims the state can't survive without our PFD yet months ago he wrote a check to Canada for 65 million . Now he wants to put us on the hook for billions for this gas line pie in the sky that doesn't pencil out.      The fact of the matter is all the polling showed Walker would lose again in the primary to Parnell---that's why he turned independent. The polling showed the democrats had zero chance of winning---that's why they quit .   Simply put---Alaskan's didn't want Walker .  They just didn't want Parnell after the media's constant attacks on him.  We got a poor quality governor and that explains why he's doing a pathetic job now. He needs to be recalled. Now !","```
// Comment: Walker's obsession with gas line project negatively impacting state budget and leadership
```",Governor Incompetence,Walker's Leadership Failure and Recall Advocacy,"Walker's Leadership Failure

Governor Incompetence

Advocating Walker's Recall over Leadership Failure","1. Walker's Leadership Failure
2. Governor Incompetence
3. Advocating Walker's Recall over Leadership Failure
4. Walker's Ineffective Governance and Recall
5. Leadership Failure and Fiscal Mismanagement",Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,"Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls  
Walker's Inept Leadership and Misguided Gas Line Project leading to Recall Calls  
Walker's Flawed Leadership and Financial Mismanagement spurring Recall Efforts",Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,"1. Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls (current code)
2. Governor Walker's Leadership Failure and Fiscal Mismanagement Spark Recall Efforts (alternative phrasing)
3. Walker's Leadership and Fiscal Failures (more concise option)
4. Governor Walker's Incompetence (more concise option, but may not capture full scope)", Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,Governor Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls,**Walker's Ineffective Leadership and Fiscal Mismanagement Leading to Recall Calls**
"Your concerns are legit.  Hillary is not your candidate.  But neither is Trump.
Did you read the story I linked to carefully? It is disturbing to say the least.  

I see in Trump a psychopath who will say anything to get elected.   I feel so creeped out by this election, and wish that the Republican nominee was someone not-a-rapist.   I am not a fan of Rubio, but he is sane & not a sex offender.  Have you thought about the libertarian candidate?

I feel sorry for rational, moral Republicans out there (and they are legion).
The party has truly let them down.",Disillusionment with presidential candidates; concern for Republican values and moral integrity,Disillusionment with Candidates,Dismay with 2016 Election Choices,Dismay with Candidates and Republican Process,"1. Disillusionment with presidential candidates; concern for Republican values and moral integrity.
2. Dismay with Candidates and Republican Process.
3. Disillusionment with Candidates.
4. Dismay with 2016 Election Choices.
5. Dismay with Candidates and Party Process.
6. Disillusionment with Election Options.
7. Criticism of Candidates and Party.","Disillusionment with Candidates and Party, Considering Alternatives",Disillusionment with Major Candidates and Republican Process,"1. Disillusionment with Candidates and Party Process
2. Dismay with 2016 Election Choices and Party Values
3. Criticism of Candidates and Republican Party",Dismay with Election Choices and Party Values,Dismay with Main Candidates and Party Values,Dismay with Main Candidates and Party Values,Disillusionment with Candidates and Party Values,Dismay with Main Candidates and Party Values,Dismay with Election Choices and Party Values,Dismay with Candidates and Party Values
"Makes one really appreciate what real men went through years ago without the junk the guy brought with him. Imagine what people went through living out there for years, winter and summer without the modern conveniences getting cuts, broken bones, no canned food, critters everywhere which include bugs. It's no wonder all of the trauma goes on with the modern people and the post syndromes. Poor baby, nothing to keep his thumbs busy. Well written story though but not enough to make one feel sorry for the guy, should have read some books first and the why would the state give away good land when there is all the swamp land out there to be tamed.",Appreciation for past hardships and self-sufficiency; contrast with modern conveniences and dependency.,Romanticization of Past Resilience,Past Hardships and Their Lasting Impact,Resilience in Past Hardships and Its Absence Today,"Romanticized Resilience: Past Struggles, Present Vulnerability",Past Resilience vs. Modern Dependency,"Refined codes:
- Past Resilience and Modern Dependency
- Past Struggles, Present Vulnerability
- Past Struggles, Present Convenience, and Modern Vulnerability","1. Resilience in Past Hardships and Its Absence Today
2. Romanticized Resilience: Past Struggles, Present Vulnerability
3. Past Hardships and Their Lasting Impact
4. Romanticized Resilience: Past Hardships, Present Vulnerability
5. Past Resilience, Modern Dependency",Romanticized Resilience: Past Hardships vs. Modern Dependency,"1. Past Resilience, Modern Dependency, and Lasting Trauma
2. Romanticized Resilience: Past Hardships, Modern Vulnerability
3. Past Resilience, Modern Dependency, and Negating Empathy","* Past Resilience, Modern Vulnerability: A Contrast in Hardship and Empathy
* Romanticized Resilience: Past Struggles, Present Dependency, and the Erosion of Empathy
* Hardship and Resilience: A Historical Contrast with Modern Dependency and Reduced Empathy",Romanticized Resilience vs. Modern Dependency,"- Past Hardships and Resilience
- Modern Dependency and Resource Management
- Contrast between past resilience, hardships, and self-sufficiency
- Modern dependency, convenience, and resource management
- Critique of contemporary society's ability to cope with challenges","Romanticized Resilience: Past Hardships, Present Vulnerability","Romanticized Resilience: Past Hardships, Present Vulnerability"
"Your white-washing of the details of the article is disturbing, Outsider77. The Trumps actively engaged in intimidation of witnesses (threats of physical harm) and used their superior status as rich, white people to attack the prosecutors, witnesses and anyone else who was a threat to their real estate empire. Being white and rich is like having a Teflon coating as we know from history.
Trump is merely an updated version of his father. From what Trump has said in his speeches about non-whites, it's pretty obvious he's still having a hard time ""figuring out what is proper behavior"" and his daddy isn't calling the shots anymore so you can't blame him. It wouldn't matter if Trump were not personally racist because he race-baits and makes racist statements in order to achieve political ends.",Systemic privilege and racial intimidation in Trump's actions,Privilege Enables Impunity,White Privilege and Racial Exploitation,White Privilege & Racism: Abuse of Power and Impunity,"**Systemic White Privilege: Abuse of Power, Racial Exploitation, and Impunity**","**Final Refined Code:** Systemic White Privilege: Power Abuse, Racial Exploitation, and Impunity","Systemic White Privilege, Power Abuse, Racial Exploitation, and Impunity Fueling Systemic Inequality","**Systemic White Privilege: Power Abuse, Racial Exploitation, and Impunity**","The code reveals how systemic white privilege, power abuse, racial exploitation, and impunity sustain systemic inequality.","Systemic White Privilege: Abuse of Power, Racial Exploitation, and Impunity"," Systemic White Privilege: Abuse of Power, Racial Exploitation, and Impunity"," Systemic White Privilege: Abuse of Power, Racial Exploitation, and Impunity.","Systemic White Privilege: Abuse of Power, Racial Exploitation, and Impunity","**Systemic White Privilege: Abuse of Power, Racial Exploitation, and Impunity**","**Systemic White Privilege: Power Abuse, Racial Exploitation, and Impunity**"
"Waldman is right--and being politically very naive.  While Trump is truly an original in American politics (outside lunatic fringe candidates), this isn't the first time that the Republican party has nominated someone so odious that a significant part of the party's leadership defected to the Democrat candidate.

In 1884, the Republicans, against expectations, nominated James G. Blaine, senator from Maine.  Blaine, unlike Trump, had a long career in public service.  But his name had repeatedly been tainted with financial scandal.  Many party leaders (""Mugwumps)"" refused to support Blaine on moral grounds.  The Democrats nominated the reformer Grover Cleveland.  The campaign was emotional and ugly on both sides.  Cleveland barely won the popular vote in New York state, and hence the presidency.  

Some high-ranking defectors aside, the Republicans will rally behind Trump because it's all they can do.  He is likely to lose, after which they will blame him, not themselves. So it goes.",Historical parallel of party defection due to candidate's perceived immorality,Historical Precedent for Party Defection,**Republican Defection in Presidential Elections**,Republican Defection during Disfavored Presidential Nominations,"- Historical parallel of party defection due to candidate's perceived immorality
- Historical Precedent for Party Defection
- Republican Defection in Presidential Elections
- Republican Defection during Disfavored Presidential Nominations",Republican Defection during Disfavored Presidential Nominations,Republican Defection during Disfavored Presidential Nominations,Republican Defection during Disfavored Presidential Nominations,Republican Defection in Presidential Elections,Republican Defection during Disfavored Presidential Nominations,Republican Defection during Disfavored Presidential Nominations,Republican Defection in Presidential Elections,Republican Defection during Disfavored Presidential Nominations,Republican Defection during Disfavored Presidential Nominations,Republican Defection in Presidential Elections
"re: Koko

I reflect the same sentiment quoted privately from a friend and family member below... except would like to add on WHERE WAS KOKO IN ALLLLL THE THIRD SEX ISSUES EVER? What a shame... 

NO THANKS. We need people who stand up not hide when the going gets tuff. I would laugh but her lack of presence and support during SB1, the pono choices fiasco and now the bathroom bs is appalling and LOUD AND CLEAR- some transgendered are in it for self-gain. I can't trust someone who stands by idly to preserve her political chances above the civil rights of her own people.

Again NO THANKS,

""I know her neighbors & no one has nothing good to say about her. They say she is arrogant & believe she is privileged. She even tried to sue one of them unsuccessfully. Where was she when the DOE needed to deal w/ the transgendered student issue? We all know what she is.""",Absent/Self-interested during transgender rights issues; Perceived as arrogant and privileged.,Lack of Authentic Allyship,**Leadership Failure**,Dereliction of Authentic Allyship,"- Lack of Authentic Allyship
- Leadership Failure
- Dereliction of Authentic Allyship
- Betrayal of Community Trust
- Inauthentic Advocacy
- Abdication of Responsibility","Dereliction of Authentic Allyship is a strong and comprehensive code that captures the essence of the criticism towards Koko. It effectively conveys the themes of disappointment, distrust, and skepticism regarding her commitment to social justice and her community. However, to ensure clarity and accessibility, a slightly more straightforward code might be beneficial. Here are a few suggestions for refinement:

1. **Allyship Failure**: This code is concise and directly addresses the perceived failure in Koko's role as an ally, without the complexity of the word dereliction.

2. **Betrayal of Trust**: This code emphasizes the breach of trust and the disappointment felt by the community, focusing on the emotional impact of Koko's actions.

3. **Inauthentic Leadership**: This code combines elements of leadership failure and lack of genuine support, highlighting the perceived insincerity in Koko's actions.

Each of these options maintains the core themes of the original code while offering a slightly different emphasis or level of simplicity.",Dereliction of Leadership in Allyship or Abandonment of Allyship Through Failed Leadership,**Dereliction of Allyship Through Leadership Failure**,**Dereliction of Leadership in Allyship**,"- Dereliction of Allyship Through Leadership Failure
- Abandonment of Allyship Through Failed Leadership","- Abandonment of Allyship Responsibilities
- Dereliction of Duty in Allyship
- Failure to Lead with Authentic Allyship
- Neglect of Leadership in Social Justice","**Dereliction of Leadership in Allyship**

This code succinctly captures Koko's failure to fulfill her responsibilities as both a leader and an ally, highlighting her neglect of important causes, prioritization of personal gains, and the resulting loss of trust and respect from the community.",**Dereliction of Leadership in Allyship**,Dereliction of Authentic Allyship, Dereliction of Leadership in Allyship**
"Oh, you mean the same Wes Keller that tried to block a routine resolution that celebrated the 100th anniversary of the Girl Scouts, solely because he wanted to vet rumors that others said they saw on the internet that linked the Girl Scouts to Planned Parenthood? Thanks for the laugh. 

Good ole Wes was just pandering to  comments of Republican Indiana Rep. Bob Morris, who called the Girl Scouts a “radicalized organization” based on similar rumors. Morris sent a letter to Indiana lawmakers saying he was planning to withdraw his daughters from the Girl Scouts, alleging that they “are a tactical arm of Planned Parenthood, encourage sex and allow transgender females to join.”",Political Pandering & Spreading Misinformation,Misinformed Moralizing,Pandering to Baseless Rumors,**Pandering to Unverified Claims**,Politically Motivated Disinformation,Politically Motivated Disinformation,Politically Motivated Disinformation,"- Politically Motivated Disinformation
- Politically Driven Misinformation
- Disinformation for Political Gain
- Politically Motivated Information Manipulation",Politically Motivated Disinformation,Politically Motivated Disinformation,"1. **Politically Driven Misinformation**
2. **Disinformation for Political Gain**
3. **Politically Motivated Information Manipulation**",Politically Driven Misinformation,Politically Driven Misinformation,Politically Motivated Disinformation,Politically Motivated Disinformation
"Outsider77: ""Allowing a person to state their beliefs and respect the answer sans direct and convincing contrary evidence is just basic respect. (Unless one is trying to discredit a candidate for political reasons.)""
Here's evidently what Trump thinks if we can take him at his own words:
“Laziness is a trait in blacks.” Donald Trump, 1991
“Sadly, because president Obama has done such a poor job as president, you won’t see another black president for generations!”  Donald Trump, 2013
“Black guys counting my money! I hate it. The only kind of people I want counting my money are short guys that wear yarmulkes every day.” Trump, 1989
""Jeb Bush has to like the Mexican illegals because of his wife."" Trump, 2015",Discriminatory Beliefs Exposed,RacialBiasEvasion,Hypocrisy in Advocating Respect While Making Derogatory Statements,"1. Hypocritical Respect and Derogatory Statements
2. Evading Racial Bias Through Respect","- Discriminatory Beliefs Exposed
- RacialBiasEvasion
- Hypocrisy in Advocating Respect While Making Derogatory Statements
- Evading Racial Bias Through Respect
- Respect as Racial Bias Evasion
- Racial Hypocrisy Exposed
- Bias Behind Respect
- Double Standard on Racial Respect
- Evasion through Respect",Evasion of Racial Bias Through Respect,"Advocating Respect, Practicing Bias","* Respect as Racial Bias Evasion
* Evasion through Respect
* Advocating Respect, Practicing Bias
* Racial Bias behind Respectful Rhetoric",Evasion of Racial Bias Through Respect,"Promoting Respect, Practicing Bias",Hypocrisy in Respect,Hypocrisy in Advocating Respect While Making Derogatory Remarks,"
Hypocrisy in Advocating Respect While Making Derogatory Remarks
```","Evading Racial Bias Through Respect, Hypocrisy in Advocating Respect While Making Derogatory Remarks, Advocating Respect, Practicing Bias","Respect Advocated, Bias Exposed"
"My family in Iraq is threatened by this madness--therefore I claim a little more right to speak on it than the bigoted ignoramuses in here who arrogantly attribute it to my faith.  The Da'esh represent the fruits of trees which the mighty ""enlightened"" west watered with Muslim blood.  Your good Christian Germans raised up their Ottoman sock puppets, and your good Christian British did the same with the criminal 'Sa'ud' family to oppose them.  After the sun set on the latter's bloody ""empire"" the US and USSR stepped in as the new puppet-masters.  The DIRECT result of their greedy manipulation is what we see now.  You arm and finance murderers and when they do what you HIRED them to do, feign that you're ""appalled"" by their crimes.  I previously compared this insanity to a bird of prey that attacks the targets of its choice upon release from its master's glove--including its master.  Malcolm X (Rah'matullahi alayhi) put it another way: ""The chickens have come home to roost.""",Western intervention and manipulation fueling extremist violence,Western Complicity and Hypocrisy,Western Imperialism and Its Blowback,Historical Western Manipulation and Retaliatory Violence,"Refined Code Options:
1. Western Intervention and Blowback (LLM-2)
2. Historical Western Manipulation and Retaliatory Violence (LLM-1)
3. Western Agency and Consequential Violence (LLM-3)",Western Imperialism and Its Blowback,Western Imperialism and Its Blowback,"1. Western Imperialism and Its Blowback
2. Western Complicity and Hypocrisy
3. Historical Western Manipulation and Retaliatory Violence
4. Western Intervention and Blowback
5. Western Agency and Consequential Violence
6. Western Imperialism, Hypocrisy, and Blowback
7. Historical Western Manipulation, Hypocrisy, and Retaliatory Violence",Western Imperialism and Its Blowback,Historical Western Imperialism & Retaliatory Violence (Blowback),"- Western Imperialism, Hypocrisy, and Blowback
- Historical Western Imperialism & Retaliatory Violence (Blowback)
- Western Intervention, Manipulation, and Blowback
- Historical Western Actions and Consequential Violence",Western Imperialism and Its Blowback,Western Imperialism and Its Blowback,"Certainly! Here is the qualitative code extracted from the comment:

- Western Imperialism
- Blowback", Western Imperialism and Its Blowback
"Interesting that this professor feels that the candidate who endorses torture, banning Muslims, punishing women who have abortions, unilaterally starting new wars, et. etc. is the one who defends the Constitution.  Never heard of Claremont McKenna College but it's not a place I'd send my kids to after this.

Trump isn't Hitler.  Nor is he simply 'non-PC'.  Nor is he merely an ""amateur"".  No, he's woefully ignorant of how our constitutional republic is set up to operate.  He engages his mouth without engaging his brain.  He panders to whatever audience he's talking to.  His personal morals and ethics are bankrupt.  He's dishonest.  He'll severely embarrass our country on the national stage.

Need more?",Disregard for Constitutional Principles and Ethical Values,Critique of Trump's Constitutional Hypocrisy,Moral and Ethical Failures in Leadership,"1. Violation of Constitutional Principles and Ethics
2. Hypocrisy in Constitutional Leadership
3. Moral and Ethical Failures in Leadership","- Constitutional and Moral Disregard
- Leadership Hypocrisy and Ethical Failures
- Erosion of Constitutional and Ethical Standards","

1. **Disregard for Constitutional Principles and Ethics**
2. **Hypocrisy in Constitutional Leadership**
3. **Erosion of Ethical Standards in Leadership**","1. Constitutional Disregard and Ethical Failures in Leadership
2. Leadership Hypocrisy and Violation of Constitutional Principles
3. Eroded Constitutional Standards and Ethical Leadership","1. Constitutional and Moral Erosion
2. Leadership Integrity and Constitutional Responsibility
3. Ethical Leadership and Constitutional Accountability","**Refined Code Suggestions:**

1. **Constitutional Disregard and Ethical Leadership Failures**
   - This code captures the essence of the critique by highlighting both the disregard for constitutional principles and the ethical shortcomings in leadership.

2. **Ethical and Constitutional Failures in Leadership**
   - This option combines both aspects clearly, emphasizing the ethical and constitutional issues within leadership.",Constitutional Disregard and Ethical Failures in Leadership and Leadership Hypocrisy and Violation of Constitutional Principles,"- Erosion of Constitutional and Ethical Standards
- Leadership Hypocrisy and Constitutional Disregard",Moral and Ethical Failures in Leadership,Controversial Candidate Endorsement and Educational Institution's Moral Standards,Constitutional Disregard and Ethical Failures in Leadership,Constitutional Disregard and Ethical Failures in Leadership
"There is plenty of racism in Peru and the rest of Latin America. And a lot more than in the US.  AFAIK there is no laws or policies that enforces racism, but  it proliferates in their culture. The political correctness mindfck has not caught up yet, so if you are not a mestizo you can be openly called by your race: negro, chino, cholo, indio, gringo, wero, judio... prefixed with ""pinche"" and/or postfixed ""de mierda"". But foreigners, specially white Europeans are always welcomed. They are always looked upon, ""para mejorar la raza"" (to improve the race).  A black guy from Kenya, I don't know about that.","Prevalent unofficial racism and colorism in Latin American culture, with preferential treatment towards white Europeans",**Cultural Racism with Hierarchical Acceptance**,Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,"Racism is more prevalent and culturally accepted in Latin America, where racial terms are openly used, and there's a hierarchy favoring white Europeans, unlike in the US where such terms are used more cautiously.",Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America,Hierarchical Cultural and Systemic Racism in Latin America
"I apologize to offend you. I didn't imply Peruvians would use such words as 'Pinche'. My point was that racism in Peru is worse. I remember going to Peru a while back, and seeing indigenous and black people being denied entry to clubs in Lima, which you'll never see that in US in the present day. And I did say Latin American, in general. Not to mention Latin American people discriminate against each other. Peruvians (and all South American) feel they are superior to the lesser educated Mexicans and Central Americans. Mexicans are even racist against Central Americans. And lets not talk about Argentinians."," Pervasive racism and discrimination within Latin America could be:

- Racism
- Discrimination
- Social Issues
- Latin America",Racism Hierarchies,Racial Discrimination and Prejudice in Peru and Broader Latin America,Racial Discrimination and Prejudice in Peru and Across Latin America,"1. Racial Discrimination and Prejudice in Peru and Across Latin America
2. Racism Hierarchies
3. Racial Discrimination and Prejudice in Peru and Broader Latin America
4. Noting the presence of racism hierarchies within Latin American countries.
5. Racial Discrimination and Prejudice in Peru and Across Latin America, with evidence of hierarchical structures.","  
**Racial Discrimination and Prejudice in Peru and Across Latin America**","Racial Discrimination and Hierarchical Prejudice in Peru and Across Latin America, including the U.S.","**Qualitative Code:**

Racial Discrimination and Hierarchical Prejudice in Peru and Latin America, with Skin-Color Based Social Hierarchies, in Comparative Context with the U.S.

Alternatively:

Racial Hierarchies and Discrimination in Latin America, Comparative to the U.S.",Racial Hierarchies and Discrimination in Latin America,"Racial Discrimination and Hierarchical Prejudice in Peru and Across Latin America, with Skin-Color Based Social Hierarchies, in Comparative Context with the U.S.","Racial Discrimination and Hierarchical Prejudice in Peru and Latin America, with Skin-Color Based Social Hierarchies, in Comparative Context with the U.S.","The thought process focuses on racial discrimination and hierarchies in Peru and Latin America, highlighting the impact on indigenous and black communities and the broader regional context.","- Racial discrimination in Peru
- Prejudice across Latin America
- Hierarchical structures of skin-color based racism
- Comparative context with the U.S.
- Impact on indigenous and black communities in Latin America","Racial Discrimination and Hierarchical Prejudice in Peru and Latin America, with Skin-Color Based Social Hierarchies, in Comparative Context with the U.S.","Racial Discrimination and Hierarchical Prejudice in Peru and Across Latin America, comparatively examined with the U.S."
"On the first point I disagree. Many well known GOP names are saying trump is a disgrace. Even Ryan, is biting his tongue and drawing blood and he's about as conservative as they come.
I'm sure your right about some teachers, plumbers, clergy, etc., that stereotype and say silly things like 'all white people are racists' while there are just as many saying the same things about any other color or ethnicity. It's true that some will use it as cover to point a finger while engaging in their own bigotry saying 'well, at least I'm not as bad as x'.
I have no idea who's on the top of the domestic terror list. Would it be white males age 18-35? Why is that? They get crappy insurance rates, must be a reason there as well. Now, let's look at the serial killer and domestic terrorism that has taken place in the last 30yrs. What's the ratio? You tell me.",Double standards in evaluating race and bigotry.,Challenging Simplistic Narratives,Political Polarization and Societal Stereotypes,"Political Polarization, Societal Stereotypes, and Terrorism Perception",Double Standards in Politics and Society,Double Standards in Politics and Society,Double Standards in Politics and Societal Perceptions,Double Standards in Politics and Societal Perceptions,Double Standards in Politics and Society,Double Standards in Politics and Societal Perceptions,Double Standards in Politics and Society, Double Standards in Politics and Society.,"
Comment: Double Standards in Politics and Society
```",Double Standards in Politics and Society,Double Standards in Politics and Society
"This honestly astounds me.

The case presented, point by point, would, and should have lead unto an indictment, but yet did not, within the end.

The most duplicitous individual to have run for office within recent history is allowed to continue to do so, no matter that our own FBI has identified lie after lie after lie, publicly stated, within that no reasonable thinking prosecutor would pursue said case?

Really?

How do supporters of this individual sleep at night?

Guess what supporters, you are next to feel the wrath of the Clinton machine.

You may not see it now, but you will feel it in the very near future, should this evil entity actually attain the White-House, as this individual does not give a damn about you, your own family, your neighbourhood, your community, your city, or your Nation.

They only care about themselves, and the monies and power they hold unto.

I call Hillary Rodham Clinton the Antichrist for a reason.

She is the most evil individual upon Earth, ya ken?","
Outrage over perceived political corruption and unjustified political immunity
```",Moral Outrage,Betrayal of Trust and Moral Corruption,Perceived Betrayal and Moral Corruption,"- Perceived Betrayal and Moral Corruption
- Perceived Betrayal of Trust and Moral Outrage
- Perceived Injustice and Moral Corruption",Perceived Betrayal and Moral Corruption,Perceived Betrayal of Justice and Moral Corruption,"- Perceived Betrayal of Justice and Moral Outrage
- Perceived Injustice and Moral Corruption
- Perceived Betrayal and Moral Corruption
- Perceived Moral Outrage and Betrayal of Justice",Betrayal of Trust and Moral Corruption,Perceived Systemic Betrayal and Moral Corruption,"- Perceived Systemic Betrayal and Moral Corruption
- Perceived Betrayal of Justice and Moral Outrage",Perceived Betrayal and Moral Outrage,"- Perceived Betrayal
- Systemic Moral Corruption",Perceived Systemic Betrayal and Moral Corruption,Perceived Betrayal of Justice and Moral Outrage
"Unfortunately, money talks and Hobby Lobby has lots of it.

The first thing I thought of when I saw the ad in the RG on Monday from Hobby Lobby was how Hobby Lobby are such hypocrites about their Christianity.  Their brick and mortar stores are not open on Sundays for business because it is the Sabbath yet they run advertisements in the Sunday paper and you can order online from their website every Sunday, so, really they are doing business on the Sabbath.  I guess they think they're fooling everyone because their brick and mortar stores are closed Sundays.  Their businesses keep running and the dollars still pour into their coffers even if you can't walk into the stores.  While they might be sitting in a church pew, they do have employees working on the Sabbath. Maybe in their mind it doesn't violate the Sabbath if the shopper can't see the employee working on the other end of the online store.

The best thing I can suggest about Hobby Lobby is to not patronize them.",Hypocritical business practices: Hobby Lobby operates online on Sundays despite claiming to honor the Sabbath by keeping physical stores closed.,Hypocrisy,Hypocrisy in Business Practices,"1. Online Business on Sabbath vs. Claimed Christian Values
2. Sunday Online Operations Contradicting Professed Christian Values
3. Hypocrisy: Online Business on Sabbath vs. Store Closure for Christian Values",**Hypocrisy: Online Sabbath Operations**,Hypocrisy: Online Business on Sundays,"Hypocrisy in Online Business Operations on Sabbath Despite Christian Values

Hypocrisy: Online Operations on Sabbath Contradicts Claimed Christian Values","- Hypocrisy: Online Business on Sabbath
- Sabbath Hypocrisy: Online Operations
- Hypocrisy in Online Sabbath Practices
- Contradictory Values: Online Business on Sundays",Hypocrisy: Online Business on Sunday,"Online businesses claiming Christian values yet operating on Sundays, demonstrating hypocrisy","- Hypocrisy: Online business on Sabbath
- Hypocrisy in Christian-based businesses
- Online Sabbath operations contradicting Christian values
- Hypocrisy: Professed values vs. online business practices",Hypocrisy: Online Operations on Sabbath,Hypocrisy: Online Operations on Sabbath,"Hypocrisy
", Hypocrisy: Online Operations on Sabbath
"From what I saw on the video......this career criminal and sex offender with a record as long as anyone's arm.....was resisting the officers. He had a gun he was trying to pull out and when the officers realized that, they told him to stop but he kept on making the effort to pull out the gun. Anyone in that situation, officers or not, would have shot the guy. It funny that if this was about two black officers and dead black criminal.....there would be no hoopla over this incident.

Actually, I read on Yahoo that they did recovered the gun Mr. Sterling was trying to use. And also.....one of his sex offenses was against a child.  This guy wasn't no Baptist minister on his way to church but a career criminal refusing to obey a lawful orders given by a law enforcement officers.","

- Portrayal of the central figure as a dangerous career criminal
- Disregard for the law
- Danger posed to officers and others
- Discrepancy in public reaction based on race",Justification of Force,Violent Criminal Justifies Police Actions,Criminal's Violent Behavior Justifies Force and Minimizes Other Factors,"Violent Behavior Justifies Police Response, Overshadows Racial Dynamics","Violent Behavior Justifies Police Response, Overshadows Racial Dynamics", Violent Criminal's Actions Justify Police Response and Override Racial Factors.,"1. Career criminal and sex offender defying lawful orders with weapon, sparking divergent reactions.
2. Justification of Force
3. Violent Criminal Justifies Police Actions
4. Criminal's Violent Behavior Justifies Force and Minimizes Other Factors
5. Violent Behavior Justifies Police Response, Overshadows Racial Dynamics
6. Violent criminal fatally shot by police amid resistance, with racial dynamics overshadowed.
7. Violent Criminal's Actions Justify Police Response and Override Racial Factors
8. Violent Criminal's Behavior Justifies Lethal Force, Overrides Racial Considerations","Violent Criminal Justifies Police Lethal Force, Racial Dynamics Overshadowed","Criminal's Violence Justifies Lethal Police Response, Downplaying Racial Factors","Violent Behavior Justifies Lethal Force, Downplaying Racial Dynamics"," Violent Criminal Justifies Lethal Force, Racial Dynamics Overshadowed",The qualitative code from the response is: Racial Dynamics Overshadowed.,"Violent Behavior Justifies Lethal Force, Downplaying Racial Dynamics.","Violent Behavior Justifies Lethal Force, Downplaying Racial Dynamics."
"Metooist:  You raise the key questions relating to religions.  Is god (or God), if he,she, it or they exist, loving or vengeful,  kind or rather nasty?  How about folks who pray to god (God) for rather petty things....victory in a football game for example.....would a god(God) really be interested in such matters?  As we look around us at the harm being done in the name of various gods(Gods), would any supreme being really want such actions?  The list of rather depressing questions could go on for pages.  I've met very loving, wonderful people of all religions.  I've met very loving, wonderful people who are athiests or agnostics.  I've met really nasty, hateful people who are self-avowed Christians, and, again, I've met nasty, hateful people who are agnostics or athiests.  How about radical Muslim zealots.....not really nice folks.  Yet, the vast majority of Muslims are peaceful individuals.  Good is done in the name of religion...so is evil.  
I share your skepticism re: religion.",Ambivalence towards religion due to mixed experiences of goodness and harm.,Ambivalence towards Religion,"Religious belief: complexity, diversity, and duality.","Religious skepticism: complexity, diversity, and duality","**Religious Ambivalence: Complexity, Diversity, and Duality**

**Skeptical Ambivalence towards Religion: Complexity, Diversity, and Duality**","Ambivalent Religious Belief: Complexity, Diversity, and Duality.","Ambivalent and skeptical religious belief: complexity, diversity, and duality.","* **Ambivalent and skeptical religious belief: complexity, diversity, and duality**
* **Religious ambivalence: complexity, diversity, and duality**
* **Skeptical ambivalence towards religion: complexity, diversity, and duality**","Religious belief: complexity, diversity, and duality with skepticism.","Ambivalent and skeptical religious belief: complexity, diversity, and duality","Ambivalent and skeptical religious belief: complexity, diversity, and duality","Religious belief: complex, diverse, dual, and skeptical.","Ambivalent religious belief: complexity, diversity, and duality with skepticism.","Ambivalent religious belief: complexity, diversity, and duality.","Religious belief: complexity, diversity, and duality with skepticism."
